id_odsp, team1, team2, team1_won, team2_won, location, team1_goals, team2_goals
69FNC9yP/,Stoke City,Aston Villa,1,0,3,1,1
69tLIPSC/,Lorient,Paris Saint-Germain,0,1,3,1,1
69tLIPSC/,Paris Saint-Germain,Lorient,1,0,3,1,1
6at2ZvRg/,Osasuna,Rayo Vallecano,1,1,3,2,1
6at2ZvRg/,Rayo Vallecano,Osasuna,1,1,3,1,2
6BEY6GRH/,Rayo Vallecano,Villarreal,0,1,3,1,4
6BEY6GRH/,Villarreal,Rayo Vallecano,1,0,3,4,1
6BUIMN9a/,Eintracht Frankfurt,Werder Bremen,1,0,13,2,1
6BUIMN9a/,Werder Bremen,Eintracht Frankfurt,0,1,3,1,1
6BUIMN9a/,Werder Bremen,Eintracht Frankfurt,0,1,13,1,2
6BUIMN9a/,Eintracht Frankfurt,Werder Bremen,1,0,3,1,1
6cFdqC4E/,Udinese,Napoli,1,1,3,1,1
6cFdqC4E/,Napoli,Udinese,1,1,3,1,1
6cTiRU5a/,Fortuna Dusseldorf,Schalke 04,1,1,3,2,1
6cTiRU5a/,Schalke 04,Fortuna Dusseldorf,1,1,3,1,2
6DhcOlam/,Sporting Gijon,Malaga,1,0,15,1,1
6DhcOlam/,Malaga,Sporting Gijon,0,1,15,1,1
6DNKZgcF/,Stade Rennes,Bordeaux,1,1,3,1,1
6DNKZgcF/,Bordeaux,Stade Rennes,1,1,3,1,1
6e5H0YYT/,Mainz,VfB Stuttgart,0,1,14,1,1
6e5H0YYT/,VfB Stuttgart,Mainz,1,0,14,1,1
6epF6nYf/,Newcastle,Crystal Palace,1,1,3,2,1
6epF6nYf/,Newcastle,Crystal Palace,1,1,13,1,1
6epF6nYf/,Crystal Palace,Newcastle,1,1,3,1,2
6epF6nYf/,Crystal Palace,Newcastle,1,1,13,1,1
6FSSzxZP/,Parma,Palermo,0,1,3,1,1
6FSSzxZP/,Palermo,Parma,1,0,3,1,1
6gUOnVtC/,Athletic Bilbao,Mallorca,1,1,3,1,1
6gUOnVtC/,Mallorca,Athletic Bilbao,1,1,3,1,1
6i1l02RA/,Real Zaragoza,Rayo Vallecano,0,1,3,1,2
6i1l02RA/,Rayo Vallecano,Real Zaragoza,1,0,3,2,1
6ibSw58U/,Parma,AS Roma,1,0,3,2,1
6ibSw58U/,AS Roma,Parma,0,1,3,1,2
6J2v80Oi/,West Ham,Arsenal,0,1,13,1,1
6J2v80Oi/,Arsenal,West Ham,1,0,13,1,1
6mfH2k3D/,Real Madrid,Espanyol,1,0,3,2,1
