assists,goals,attempts,event_team
3,3,27,Manchester City
4,21,61,Manchester City
0,34,282,Everton
1,40,553,Everton
2,25,155,Everton
3,4,25,Everton
4,10,33,Everton
0,30,290,Newcastle
1,33,488,Newcastle
2,21,156,Newcastle
3,3,42,Newcastle
4,1,30,Newcastle
0,7,118,Cardiff
1,10,160,Cardiff
2,12,108,Cardiff
3,1,16,Cardiff
4,4,7,Cardiff
0,34,260,West Brom
1,29,479,West Brom
2,22,191,West Brom
3,4,46,West Brom
4,9,28,West Brom
0,34,258,Arsenal
1,57,550,Arsenal
2,25,176,Arsenal
3,7,32,Arsenal
4,12,80,Arsenal
0,26,232,West Ham
1,33,368,West Ham
2,20,225,West Ham
3,9,56,West Ham
4,4,21,West Ham
0,47,276,Tottenham
1,42,590,Tottenham
2,23,151,Tottenham
3,4,28,Tottenham
4,2,20,Tottenham
0,41,276,Chelsea
1,64,674,Chelsea
2,20,166,Chelsea
3,2,29,Chelsea
4,11,28,Chelsea
0,9,116,Norwich City
1,10,211,Norwich City
2,6,83,Norwich City
3,1,13,Norwich City
4,1,12,Norwich City
0,30,247,Swansea
1,40,514,Swansea
2,24,189,Swansea
3,0,14,Swansea
4,10,21,Swansea
0,32,253,Southampton
1,41,498,Southampton
2,21,245,Southampton
3,9,52,Southampton
4,9,24,Southampton
0,14,121,Metz
1,11,190,Metz
2,5,69,Metz
3,0,15,Metz
4,1,4,Metz
0,17,117,Lens
1,8,208,Lens
2,12,109,Lens
3,1,9,Lens
4,0,12,Lens
0,15,146,QPR
1,12,270,QPR
2,13,106,QPR
3,4,28,QPR
4,2,8,QPR
0,18,133,Leicester City
1,13,188,Leicester City
2,9,96,Leicester City
3,3,23,Leicester City
4,1,12,Leicester City
0,11,134,Burnley
1,12,199,Burnley
2,10,101,Burnley
3,4,36,Burnley
4,1,4,Burnley
0,14,131,SC Paderborn
1,13,225,SC Paderborn
2,8,89,SC Paderborn
3,1,16,SC Paderborn
4,1,6,SC Paderborn
0,8,115,Eibar
1,12,119,Eibar
2,8,62,Eibar
3,0,9,Eibar
4,1,7,Eibar
0,10,82,Cordoba
1,6,175,Cordoba
2,5,80,Cordoba
3,2,25,Cordoba
4,0,6,Cordoba
0,11,140,Empoli
1,14,305,Empoli
2,14,91,Empoli
3,7,10,Empoli
4,5,19,Empoli
